Brand;Model;Engine;Year;Km;City;Price;Link
Chery;Tiggo 8 Pro Max;2.0 л / 197 л.с. / Бензин;2023;Новый;Санкт-Петербург;3 280 000 ;https://auto.ru/cars/new/group/chery/tiggo_8_pro_max/23257343/23257522/1119206474-748b3e87/
Chery;Tiggo 8 Pro Max;2.0 л / 197 л.с. / Бензин;2023;Новый;Санкт-Петербург;3 280 000 ;https://auto.ru/cars/new/group/chery/tiggo_8_pro_max/23257343/23257522/1119206473-bdcdec6e/
Chery;Tiggo 8 Pro Max;2.0 л / 197 л.с. / Бензин;2023;Новый;Санкт-Петербург;3 280 000 ;https://auto.ru/cars/new/group/chery/tiggo_8_pro_max/23257343/23257522/1119206472-75c28af8/
Chery;Tiggo 8 Pro Max;2.0 л / 197 л.с. / Бензин;2023;Новый;Санкт-Петербург;3 240 000 ;https://auto.ru/cars/new/group/chery/tiggo_8_pro_max/23257343/23257522/1119206471-d7c3a8f6/
Chery;Tiggo 8 Pro Max;2.0 л / 197 л.с. / Бензин;2023;Новый;Санкт-Петербург;3 280 000 ;https://auto.ru/cars/new/group/chery/tiggo_8_pro_max/23257343/23257522/1119206470-6419b395/
Chery;Tiggo 8 Pro Max;2.0 л / 197 л.с. / Бензин;2023;Новый;Санкт-Петербург;3 240 000 ;https://auto.ru/cars/new/group/chery/tiggo_8_pro_max/23257343/23257522/1119206469-737d0141/
Chery;Tiggo 8 Pro Max;2.0 л / 197 л.с. / Бензин;2023;Новый;Санкт-Петербург;3 280 000 ;https://auto.ru/cars/new/group/chery/tiggo_8_pro_max/23257343/23257522/1119206468-48d0f8c2/
Chery;Tiggo 8 Pro Max;2.0 л / 197 л.с. / Бензин;2023;Новый;Санкт-Петербург;3 240 000 ;https://auto.ru/cars/new/group/chery/tiggo_8_pro_max/23257343/23257522/1119206467-65670c40/
LADA;(ВАЗ) Granta Drive Active I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Екатеринбург;779 820 ;https://auto.ru/cars/new/group/vaz/granta/23304767/23304945/1119177969-5e701df1/
LADA;(ВАЗ) Granta Drive Active I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Екатеринбург;769 820 ;https://auto.ru/cars/new/group/vaz/granta/23304767/23304945/1119177968-8c150909/
LADA;(ВАЗ) Granta Euro-2 I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Челябинск;820 000 ;https://auto.ru/cars/new/group/vaz/granta/23298913/23361582/1118640319-6b81dac5/
LADA;(ВАЗ) Granta I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Челябинск;790 000 ;https://auto.ru/cars/new/group/vaz/granta/22880448/22880714/1118640314-108c0b99/
LADA;(ВАЗ) Granta Euro-2 I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Челябинск;830 000 ;https://auto.ru/cars/new/group/vaz/granta/23298912/23360865/1118640303-f74a4796/
LADA;(ВАЗ) Granta Euro-2 I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Челябинск;840 000 ;https://auto.ru/cars/new/group/vaz/granta/23298913/23361582/1118640298-dff281df/
LADA;(ВАЗ) Granta Euro-2 I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Челябинск;840 000 ;https://auto.ru/cars/new/group/vaz/granta/23298913/23361582/1118640281-dd746eb4/
LADA;(ВАЗ) Granta Euro-2 I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Челябинск;820 000 ;https://auto.ru/cars/new/group/vaz/granta/23298912/23360865/1118640270-0f82482a/
LADA;(ВАЗ) Granta Euro-2 I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Челябинск;810 000 ;https://auto.ru/cars/new/group/vaz/granta/23298912/23360865/1118640259-bb7be18c/
LADA;(ВАЗ) Granta Euro-2 I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Челябинск;820 000 ;https://auto.ru/cars/new/group/vaz/granta/23298912/23360865/1118640254-5f526830/
Mercedes-Benz;G-Класс AMG Brabus 900 Rocket Edition II (W463);4.4 л / 900 л.с. / Бензин;2023;1 000 км;Казань;34 500 000 ;https://auto.ru/cars/used/sale/mercedes/g_klasse_amg/1119200576-a9cc996d/
LADA;(ВАЗ) Granta Euro-2 I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Челябинск;830 000 ;https://auto.ru/cars/new/group/vaz/granta/23298912/23360865/1118640323-144aaebe/
LADA;(ВАЗ) Granta Euro-2 I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Челябинск;810 000 ;https://auto.ru/cars/new/group/vaz/granta/23298912/23360865/1118640278-118873dd/
LADA;(ВАЗ) Granta Euro-2 I Рестайлинг;1.6 л / 90 л.с. / Бензин;2023;Новый;Челябинск;830 000 ;https://auto.ru/cars/new/group/vaz/granta/23298912/23360865/1118640246-930e8391/
Chery;Tiggo 7 Pro Max;1.5 л / 147 л.с. / Бензин;2023;Новый;Саратов;2 495 000 ;https://auto.ru/cars/new/group/chery/tiggo_7_pro_max/23468209/23468379/1118775067-6945452a/
